pt,eta,m
25.230948732943812,3.379827053371096,6.607856700096616
23.189650402038197,-2.2643806315908557,7.465290650172951
12.586904469090056,1.7809156033724232,8.491030475846856
4.373967011936128,-0.245263138384402,2.5007790529584835
4.25496424823028,0.9892011098399706,2.522418674135956
3.3439531295491505,-1.9436688109037532,3.300867237447968
2.48768233091831,-0.8177598891625232,1.3796583711669916
2.2464885078239303,1.7455644977280311,1.8375069953643175
2.1797449587738402,-8.071068147143508,2.3387612791465076
2.125720970693987,2.418204608888067,1.8245962501869402
2.0086398616206367,-1.5974788148568575,2.215920155810617
